ph012,2007,10-Speed Guillotine,Laptop Apetizers,10-speed-guillotine-the-hater
ph013,2007,!naus,dorsal,naus-dorsal
ph014,2007,Mr. Brown,I Dance for Money,mr-brown-i-dance-for-money
ph015,2007,Claus Muzak,Murakami on the Shore,claus-muzak-hello-cleveland
ph016,2008,the pq sessions,in a fix,the-pq-sessions-slip
ph017,2008,nt89,You Are My Very Special One,nt89-electriparty-cecile
ph018,2008,Claus Muzak,Reuptake Inhibitor,claus-muzak-axert-unterm-rad
ph019,2008,Mr. Brown,We Dance for Money,mr-brown-i-dance-for-money-lovely-chords
ph022,2009,the pq sessions,Breathtaker,the-pq-sessions-xxs
ph023,2014,Dogory Nogami,Wewon Remixes,nostra-bruxa-mix
ph024,2015,Textbeak and Kachina,Black Aquarian EP,https://soundcloud.com/myrrh-ka-ba/textbeak-kachina-black-aquarian-myrrh-ka-ba-remix,https://philtrecomllc.bandcamp.com/album/textbeak-and-kachina-black-aquarian-ep